met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year,significant_rain,days_since_rain,rain_category
2009-07-27,4.235,8.6,1.6,1.723,17,2009,True,0.0,0-2 days
2009-07-28,0.806,2.2,0.3,0.481,17,2009,False,1.0,0-2 days
2009-07-29,0.976,4.1,0.0,0.893,17,2009,False,2.0,0-2 days
2009-07-30,3.7,5.8,0.5,1.313,17,2009,True,0.0,0-2 days
2009-07-31,1.141,5.6,0.0,1.435,17,2009,True,0.0,0-2 days
2009-08-01,0.012,0.1,0.0,0.033,17,2009,False,1.0,0-2 days
2009-08-02,3.712,8.2,0.3,2.623,16,2009,True,0.0,0-2 days
2009-08-03,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-08-04,0.175,0.6,0.0,0.184,16,2009,False,2.0,0-2 days
2009-08-05,0.306,2.2,0.0,0.571,16,2009,False,3.0,3-7 days
2009-08-06,2.481,12.1,0.0,4.437,16,2009,True,0.0,0-2 days
2009-08-07,24.344,45.3,11.5,10.927,16,2009,True,0.0,0-2 days
2009-08-08,0.038,0.2,0.0,0.072,16,2009,False,1.0,0-2 days
2009-08-09,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-08-10,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-08-11,0.006,0.1,0.0,0.025,16,2009,False,4.0,3-7 days
2009-08-12,0.0,0.0,0.0,0.0,16,2009,False,5.0,3-7 days
2009-08-13,3.144,7.0,0.4,2.025,16,2009,True,0.0,0-2 days
2009-08-14,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-08-15,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-08-16,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-08-17,0.0,0.0,0.0,0.0,16,2009,False,4.0,3-7 days
2009-08-18,0.0,0.0,0.0,0.0,16,2009,False,5.0,3-7 days
2009-08-19,0.0,0.0,0.0,0.0,16,2009,False,6.0,3-7 days
2009-08-20,0.0,0.0,0.0,0.0,16,2009,False,7.0,3-7 days
2009-08-21,0.0,0.0,0.0,0.0,16,2009,False,8.0,8-14 days
2009-08-22,0.881,3.2,0.0,0.835,16,2009,False,9.0,8-14 days
2009-08-23,0.0,0.0,0.0,0.0,16,2009,False,10.0,8-14 days
2009-08-24,0.0,0.0,0.0,0.0,16,2009,False,11.0,8-14 days
2009-08-25,0.006,0.1,0.0,0.025,16,2009,False,12.0,8-14 days
2009-08-26,0.494,1.3,0.0,0.364,16,2009,False,13.0,8-14 days
2009-08-27,1.169,2.9,0.0,0.745,16,2009,True,0.0,0-2 days
2009-08-28,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-08-29,1.4,4.2,0.0,1.244,16,2009,True,0.0,0-2 days
2009-08-30,0.006,0.1,0.0,0.025,16,2009,False,1.0,0-2 days
2009-08-31,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-09-01,0.012,0.2,0.0,0.05,16,2009,False,3.0,3-7 days
2009-09-02,0.562,1.8,0.0,0.502,16,2009,False,4.0,3-7 days
2009-09-03,11.206,16.0,7.6,2.37,16,2009,True,0.0,0-2 days
2009-09-04,0.069,0.2,0.0,0.087,16,2009,False,1.0,0-2 days
2009-09-05,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-09-06,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-09-07,0.019,0.3,0.0,0.075,16,2009,False,4.0,3-7 days
2009-09-08,0.012,0.2,0.0,0.05,16,2009,False,5.0,3-7 days
2009-09-09,0.0,0.0,0.0,0.0,16,2009,False,6.0,3-7 days
2009-09-10,0.0,0.0,0.0,0.0,16,2009,False,7.0,3-7 days
2009-09-11,0.0,0.0,0.0,0.0,16,2009,False,8.0,8-14 days
2009-09-12,0.0,0.0,0.0,0.0,16,2009,False,9.0,8-14 days
2009-09-13,0.0,0.0,0.0,0.0,16,2009,False,10.0,8-14 days
2009-09-14,0.0,0.0,0.0,0.0,16,2009,False,11.0,8-14 days
2009-09-15,0.05,0.3,0.0,0.089,16,2009,False,12.0,8-14 days
2009-09-16,18.469,53.2,4.6,14.948,16,2009,True,0.0,0-2 days
2009-09-17,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-09-18,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-09-19,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-09-20,3.762,17.0,0.0,5.141,16,2009,True,0.0,0-2 days
2009-09-21,0.012,0.2,0.0,0.05,16,2009,False,1.0,0-2 days
2009-09-22,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-09-23,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-09-24,0.012,0.2,0.0,0.05,16,2009,False,4.0,3-7 days
2009-09-25,0.0,0.0,0.0,0.0,16,2009,False,5.0,3-7 days
2009-09-26,0.0,0.0,0.0,0.0,16,2009,False,6.0,3-7 days
2009-09-27,0.0,0.0,0.0,0.0,16,2009,False,7.0,3-7 days
2009-09-28,0.0,0.0,0.0,0.0,16,2009,False,8.0,8-14 days
2009-09-29,0.0,0.0,0.0,0.0,16,2009,False,9.0,8-14 days
2009-09-30,0.0,0.0,0.0,0.0,16,2009,False,10.0,8-14 days
2009-10-01,0.019,0.2,0.0,0.054,16,2009,False,11.0,8-14 days
