Conventions,G,BADC-CSV,1
title,G,uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202507
history,G,Created 2025-06-24
last_revised_date,G,2025-06-24
observation_station,G,kew-gardens
historic_county_name,G,greater-london
authority,G,Met Office
authority_comments,G,The authority is the latest organisation which owned the station
authority_comments,G,Closed stations without an authority listed have the authority set to NA
midas_station_id,G,00723
location,G,51.482,-0.294
height,G,6,m
date_valid,G,2009-01-01 00:00:00,2009-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,mean_wind_dir,Mean wind direciton,deg true
type,mean_wind_dir,int
long_name,mean_wind_speed,Mean wind speed,knots
type,mean_wind_speed,float
long_name,max_gust_dir,Direction of maximum wind gust,deg true
type,max_gust_dir,int
long_name,max_gust_speed,Speed of maximum wind gust,knots
type,max_gust_speed,float
long_name,max_gust_ctime,Clock time of maximum gust HHMM,s
type,max_gust_ctime,char
long_name,mean_wind_dir_q,QC code: Mean wind direction,1
type,mean_wind_dir_q,int
long_name,mean_wind_speed_q,QC code: Mean wind speed,1
type,mean_wind_speed_q,int
long_name,max_gust_dir_q,QC code: Direction of maximum wind gust,1
type,max_gust_dir_q,int
long_name,max_gust_speed_q,QC code: Speed of maximum wind gust,1
type,max_gust_speed_q,int
long_name,max_gust_ctime_q,QC code: Clock time of maximum gust HHMM,1
type,max_gust_ctime_q,int
long_name,mean_wind_dir_j,Descriptor: Mean wind direction,1
type,mean_wind_dir_j,char
long_name,mean_wind_speed_j,Descriptor: Mean wind speed,1
type,mean_wind_speed_j,char
long_name,max_gust_dir_j,Descriptor: Direction of maximum wind gust,1
type,max_gust_dir_j,char
long_name,max_gust_speed_j,Descriptor: Speed of maximum wind gust,1
type,max_gust_speed_j,char
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,met_domain_name,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
2009-01-03 00:00:00,WIND,526001,1,AWSHRLY,1,723,1011,50.0,4.0,50.0,7.0,2324.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 00:03:00,1498.0
2009-01-03 01:00:00,WIND,526001,1,AWSHRLY,1,723,1011,50.0,3.0,60.0,7.0,12.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 01:03:00,1438.0
2009-01-03 02:00:00,WIND,526001,1,AWSHRLY,1,723,1011,50.0,3.0,70.0,6.0,136.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 02:03:00,1378.0
2009-01-03 03:00:00,WIND,526001,1,AWSHRLY,1,723,1011,60.0,3.0,70.0,7.0,208.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 03:03:00,1318.0
2009-01-03 04:00:00,WIND,526001,1,AWSHRLY,1,723,1011,60.0,3.0,50.0,7.0,308.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 04:03:00,1258.0
2009-01-03 05:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,2.0,40.0,3.0,459.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 05:03:00,1198.0
2009-01-03 06:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,2.0,30.0,4.0,523.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 06:03:00,1138.0
2009-01-03 07:00:00,WIND,526001,1,AWSHRLY,1,723,1011,350.0,1.0,20.0,3.0,611.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 07:03:00,1078.0
2009-01-03 08:00:00,WIND,526001,1,AWSHRLY,1,723,1011,360.0,1.0,360.0,3.0,710.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 08:03:00,1018.0
2009-01-03 09:00:00,WIND,526001,1,AWSHRLY,1,723,1011,320.0,1.0,10.0,2.0,816.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 09:03:00,958.0
2009-01-03 10:00:00,WIND,526001,1,AWSHRLY,1,723,1011,360.0,1.0,10.0,3.0,938.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 10:03:00,898.0
2009-01-03 11:00:00,WIND,526001,1,AWSHRLY,1,723,1011,340.0,1.0,300.0,3.0,1056.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 11:03:00,838.0
2009-01-03 12:00:00,WIND,526001,1,AWSHRLY,1,723,1011,310.0,1.0,70.0,4.0,1156.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 12:03:00,778.0
2009-01-03 13:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,2.0,70.0,6.0,1237.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 13:03:00,718.0
2009-01-03 14:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,3.0,10.0,9.0,1340.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 14:03:00,658.0
2009-01-03 15:00:00,WIND,526001,1,AWSHRLY,1,723,1011,30.0,3.0,20.0,7.0,1400.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 15:03:00,598.0
2009-01-03 16:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,3.0,20.0,7.0,1509.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 16:03:00,538.0
2009-01-03 17:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,3.0,20.0,6.0,1650.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 17:03:00,478.0
2009-01-03 18:00:00,WIND,526001,1,AWSHRLY,1,723,1011,360.0,2.0,30.0,5.0,1742.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 18:03:00,418.0
2009-01-03 19:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,2.0,30.0,4.0,1850.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 19:03:00,358.0
2009-01-03 20:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,1.0,10.0,5.0,1909.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 20:03:00,298.0
2009-01-03 21:00:00,WIND,526001,1,AWSHRLY,1,723,1011,330.0,1.0,360.0,3.0,2010.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 21:03:00,238.0
2009-01-03 22:00:00,WIND,526001,1,AWSHRLY,1,723,1011,280.0,1.0,320.0,2.0,2105.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 22:03:00,178.0
2009-01-03 23:00:00,WIND,526001,1,AWSHRLY,1,723,1011,280.0,1.0,240.0,3.0,2259.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-03 23:03:00,118.0
2009-01-04 00:00:00,WIND,526001,1,AWSHRLY,1,723,1011,230.0,2.0,250.0,3.0,2345.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 00:03:00,1500.0
2009-01-04 01:00:00,WIND,526001,1,AWSHRLY,1,723,1011,240.0,2.0,270.0,4.0,47.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 01:04:00,1439.0
2009-01-04 02:00:00,WIND,526001,1,AWSHRLY,1,723,1011,230.0,2.0,230.0,4.0,125.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 02:04:00,1379.0
2009-01-04 03:00:00,WIND,526001,1,AWSHRLY,1,723,1011,230.0,2.0,240.0,4.0,258.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 03:03:00,1320.0
2009-01-04 04:00:00,WIND,526001,1,AWSHRLY,1,723,1011,230.0,2.0,240.0,4.0,300.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 04:02:00,1261.0
2009-01-04 05:00:00,WIND,526001,1,AWSHRLY,1,723,1011,220.0,2.0,230.0,4.0,404.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 05:03:00,1200.0
2009-01-04 06:00:00,WIND,526001,1,AWSHRLY,1,723,1011,230.0,2.0,250.0,3.0,549.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 06:03:00,1140.0
2009-01-04 07:00:00,WIND,526001,1,AWSHRLY,1,723,1011,230.0,2.0,250.0,4.0,626.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 07:03:00,1080.0
2009-01-04 08:00:00,WIND,526001,1,AWSHRLY,1,723,1011,230.0,2.0,250.0,3.0,700.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 08:03:00,1020.0
2009-01-04 09:00:00,WIND,526001,1,AWSHRLY,1,723,1011,210.0,2.0,220.0,3.0,822.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 09:03:00,960.0
2009-01-04 10:00:00,WIND,526001,1,AWSHRLY,1,723,1011,220.0,2.0,220.0,4.0,909.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 10:02:00,901.0
2009-01-04 11:00:00,WIND,526001,1,AWSHRLY,1,723,1011,200.0,2.0,220.0,4.0,1050.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 11:03:00,840.0
2009-01-04 12:00:00,WIND,526001,1,AWSHRLY,1,723,1011,250.0,3.0,270.0,7.0,1116.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 12:03:00,780.0
2009-01-04 13:00:00,WIND,526001,1,AWSHRLY,1,723,1011,260.0,5.0,280.0,9.0,1251.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 13:03:00,720.0
2009-01-04 14:00:00,WIND,526001,1,AWSHRLY,1,723,1011,260.0,4.0,260.0,9.0,1341.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 14:03:00,660.0
2009-01-04 15:00:00,WIND,526001,1,AWSHRLY,1,723,1011,280.0,5.0,280.0,10.0,1415.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 15:03:00,600.0
2009-01-04 16:00:00,WIND,526001,1,AWSHRLY,1,723,1011,260.0,4.0,260.0,9.0,1504.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-04 16:03:00,540.0
