met_day,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode,station_count
2014-06-24,18.031770833333333,22.6125,13.8875,12.422916666666667,13.975,10.3625,14.890104166666667,16.7875,13.075,72.19270833333333,93.6625,47.5375,1019.2722222222222,1010.25,1019.0208333333333,4.975,9.6,1863.6458333333335,332.5,19.0,0.0,1.225,3.6,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,211.4572920634714,0.0,8
2014-06-25,15.870312499999999,19.575,11.475,7.21875,10.2125,4.8875,11.572395833333333,12.9375,9.9625,58.45260416666667,82.16250000000001,39.475,1018.2000000000002,1009.1125000000001,1017.9166666666667,6.883333333333333,9.8,4026.041666666667,3025.0,,0.0,1.45,4.1875,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,56.86482462097307,0.0,8
2014-06-26,15.9765625,20.0875,11.1625,8.46875,12.2,6.4375,12.1515625,14.025,9.25,62.95052083333333,87.3875,43.2375,1015.3152777777777,1006.2472222222223,1015.0,5.175,8.0,2938.5416666666665,1275.0,,0.0,0.7,1.8125,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,101.95187557969562,0.0,8
2014-06-27,17.016145833333333,20.775,13.95,11.4765625,13.4875,9.0125,14.0078125,15.275,12.8625,71.72760416666667,91.15,49.362500000000004,1012.3125,1003.3097222222223,1011.9166666666667,8.716666666666667,13.0,2213.4375,722.5,22.0,0.0,0.7375,2.8375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,204.7554144121719,0.5,8
2014-06-28,14.65625,17.2375,12.3875,11.445833333333333,12.7375,10.1375,12.930208333333333,14.1125,11.575,81.60833333333333,91.35000000000001,64.0125,1010.2166666666667,1001.161111111111,1009.875,4.05,7.0,2170.833333333333,925.0,,0.0,0.4875,1.5,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,272.12267062320666,0.5,8
2014-06-29,14.397395833333333,17.85,11.6,9.0625,10.9375,6.3625,11.6734375,12.85,10.45,71.54635416666667,87.725,47.7125,1013.0375,1003.9486111111111,1012.7083333333333,6.525,10.2,2931.25,1800.0,17.0,0.0,0.8500000000000001,2.075,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,152.0107961552011,0.5,8
2014-06-30,15.052604166666667,19.425,10.2875,9.798958333333333,12.1,7.9875,12.291145833333333,14.175,9.35,72.709375,90.175,50.4875,1017.4277777777778,1008.3138888888889,1017.0416666666667,4.541666666666666,8.0,2264.895833333333,932.5,,0.0,0.6625,2.1,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,111.78852851761624,0.0,8
2014-07-01,17.0796875,21.425,12.125,8.6109375,10.4625,6.4375,12.692708333333334,14.600000000000001,10.6625,59.813541666666666,84.175,40.8375,1019.9430555555556,1010.8625000000001,1019.6041666666667,5.85,8.4,3126.0416666666665,2375.0,17.0,0.0,1.35,3.9375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,90.6985551029119,0.0,8
2014-07-02,17.488068181818182,22.75,11.025,9.858143939393939,12.4375,7.6000000000000005,13.401751893939394,15.8,10.0375,63.74588068181818,90.15,39.849999999999994,1022.6904040404041,1013.6222222222223,1022.2708333333333,4.633333333333334,9.4,2823.768939393939,1850.0,17.0,0.0,1.3875,3.6875,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,215.41185717614977,0.0,8
2014-07-03,19.519270833333334,24.425,13.6625,9.541145833333333,11.3875,6.6875,14.163541666666667,16.725,11.5,54.74583333333333,77.8625,34.9,1019.3722222222221,1010.3791666666666,1018.9791666666666,8.408333333333335,12.6,2954.166666666667,1925.0,23.0,0.0,1.8,5.425,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,220.60528120926318,0.0,8
2014-07-04,19.3609375,24.6125,14.425,12.317708333333334,14.6625,9.3875,15.371354166666666,17.775,12.5,65.68958333333333,85.7,43.4875,1008.2138888888888,999.3152777777777,1007.875,10.175,14.8,2369.4791666666665,867.5,23.666666666666668,0.0,1.55,4.775,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,211.58900490632877,0.0,8
2014-07-05,17.440104166666664,19.9125,15.9625,14.4140625,15.8125,12.7625,15.6953125,16.6125,14.55,83.01197916666666,94.7625,68.2375,1002.0152777777777,993.1138888888889,1001.6041666666667,8.675,12.4,2707.2916666666665,950.0,16.5,0.0,0.1,0.4375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,216.9425786548671,1.5,8
