date,pump_hours
2022-05-03,8.883333333333333
2022-05-04,10.2
2022-05-05,81.95
2022-05-06,16.65
2022-05-07,13.683333333333334
2022-05-08,18.633333333333333
2022-05-09,21.333333333333332
2022-05-10,9.833333333333334
2022-05-11,5.0
2022-05-12,12.433333333333334
2022-05-13,13.366666666666667
2022-05-14,49.63333333333334
2022-05-15,10.0
2022-05-16,6.0
2022-05-17,20.833333333333332
2022-05-18,9.0
2022-05-19,10.1
2022-05-20,5.5
2022-05-21,9.0
2022-05-22,21.166666666666668
2022-05-23,10.0
2022-05-24,4.716666666666667
2022-05-25,3.0
2022-05-26,6.016666666666667
2022-05-27,10.4
2022-05-28,8.0
2022-05-29,19.633333333333333
2022-05-30,8.0
2022-05-31,3.0
2022-06-01,5.05
2022-06-02,14.916666666666666
2022-06-03,23.583333333333332
2022-06-04,18.9
2022-06-05,9.0
2022-06-06,2.0
2022-06-07,16.78333333333333
2022-06-08,6.0
2022-06-09,9.816666666666666
2022-06-10,11.783333333333333
2022-06-11,21.833333333333332
2022-06-12,20.866666666666667
2022-06-13,18.983333333333334
2022-06-14,28.116666666666667
2022-06-15,28.133333333333333
2022-06-16,42.15
2022-06-17,35.5
2022-06-18,19.166666666666668
2022-06-19,38.916666666666664
2022-06-20,17.0
2022-06-21,27.566666666666666
2022-06-22,24.566666666666666
2022-06-23,12.0
2022-06-24,24.583333333333332
2022-06-25,88.76666666666667
2022-06-26,70.48333333333333
2022-06-27,24.316666666666666
2022-06-28,26.766666666666666
2022-06-29,10.016666666666666
2022-06-30,18.55
2022-07-01,21.65
2022-07-02,30.933333333333334
2022-07-03,38.55
2022-07-04,57.333333333333336
2022-07-05,125.55
2022-07-06,28.183333333333334
2022-07-07,67.0
2022-07-08,35.56666666666666
2022-07-09,54.21666666666667
2022-07-10,41.45
2022-07-11,84.16666666666667
2022-07-12,57.88333333333333
2022-07-13,84.75
2022-07-14,78.23333333333333
2022-07-15,62.5
2022-07-16,141.10000000000002
2022-07-17,85.18333333333334
2022-07-18,179.2
2022-07-19,1665.8666666666668
2022-07-20,136.61666666666667
2022-07-21,47.266666666666666
2022-07-22,45.916666666666664
2022-07-23,277.31666666666666
2022-07-24,563.5333333333333
2022-07-25,52.833333333333336
2022-07-26,62.1
2022-07-27,46.8
2022-07-28,70.2
2022-07-29,116.35
2022-07-30,68.93333333333334
2022-07-31,54.733333333333334
2022-08-01,210.55
2022-08-02,160.36666666666667
2022-08-03,41.666666666666664
2022-08-04,82.45
2022-08-05,183.96666666666667
2022-08-06,81.26666666666667
2022-08-07,123.95
2022-08-08,160.78333333333333
2022-08-09,134.43333333333334
2022-08-10,188.4
2022-08-11,106.01666666666667
2022-08-12,154.96666666666667
2022-08-13,373.6333333333333
2022-08-14,236.91666666666666
2022-08-15,71.46666666666667
2022-08-16,15.216666666666667
2022-08-17,18.866666666666667
2022-08-18,15.45
2022-08-19,54.21666666666667
2022-08-20,25.816666666666666
2022-08-21,46.11666666666667
2022-08-22,21.2
2022-08-23,25.55
2022-08-24,66.71666666666667
2022-08-25,6.0
2022-08-26,5.0
2022-08-27,10.766666666666666
2022-08-28,12.766666666666666
2022-08-29,71.14999999999999
2022-08-30,33.016666666666666
2022-08-31,21.033333333333335
2022-09-01,22.15
2022-09-02,8.683333333333334
2022-09-03,13.866666666666667
2022-09-04,42.2
2022-09-05,13.066666666666666
2022-09-06,5.0
2022-09-07,4.0
2022-09-08,1.0
2022-09-09,3.0666666666666664
2022-09-10,5.0
2022-09-11,6.0
2022-09-12,5.033333333333333
2022-09-13,3.0
2022-09-14,2.0
2022-09-15,6.0
2022-09-16,9.366666666666667
2022-09-17,10.2
2022-09-18,13.216666666666667
2022-09-19,8.0
2022-09-20,11.1
2022-09-21,5.983333333333333
2022-09-22,9.0
2022-09-23,6.0
2022-09-24,8.0
2022-09-25,11.2
