met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year
2011-10-18,3.862,6.1,1.5,1.407,21,2011
2011-10-19,0.0,0.0,0.0,0.0,21,2011
2011-10-20,0.071,1.2,0.0,0.263,21,2011
2011-10-21,0.0,0.0,0.0,0.0,21,2011
2011-10-22,0.0,0.0,0.0,0.0,21,2011
2011-10-23,0.005,0.1,0.0,0.022,21,2011
2011-10-24,0.0,0.0,0.0,0.0,21,2011
2011-10-25,2.357,4.8,0.6,1.178,21,2011
2011-10-26,2.71,5.0,1.2,1.284,21,2011
2011-10-27,3.852,7.1,0.6,1.529,21,2011
2011-10-28,1.462,4.8,0.0,1.182,21,2011
2011-10-29,0.086,0.4,0.0,0.131,21,2011
2011-10-30,0.033,0.7,0.0,0.153,21,2011
2011-10-31,0.1,0.7,0.0,0.207,21,2011
2011-11-01,1.486,3.4,0.0,1.056,21,2011
2011-11-02,0.076,0.4,0.0,0.114,21,2011
2011-11-03,2.171,4.1,1.0,1.026,21,2011
2011-11-04,24.3,42.0,18.6,5.906,21,2011
2011-11-05,0.338,1.2,0.0,0.407,21,2011
2011-11-06,0.005,0.1,0.0,0.022,21,2011
2011-11-07,0.024,0.4,0.0,0.089,21,2011
2011-11-08,0.781,1.6,0.0,0.356,21,2011
2011-11-09,1.095,2.1,0.0,0.529,21,2011
2011-11-10,0.014,0.2,0.0,0.048,21,2011
2011-11-11,0.057,0.2,0.0,0.093,21,2011
2011-11-12,0.295,1.2,0.0,0.379,21,2011
2011-11-13,0.029,0.3,0.0,0.078,21,2011
2011-11-14,0.0,0.0,0.0,0.0,21,2011
2011-11-15,0.024,0.2,0.0,0.062,21,2011
2011-11-16,0.0,0.0,0.0,0.0,21,2011
2011-11-17,0.0,0.0,0.0,0.0,21,2011
2011-11-18,0.024,0.2,0.0,0.062,21,2011
2011-11-19,0.038,0.2,0.0,0.08,21,2011
2011-11-20,0.057,0.4,0.0,0.112,21,2011
2011-11-21,0.019,0.2,0.0,0.06,21,2011
2011-11-22,0.476,1.0,0.0,0.325,21,2011
2011-11-23,0.352,1.5,0.0,0.438,21,2011
2011-11-24,0.052,0.2,0.0,0.075,21,2011
2011-11-25,0.419,1.1,0.0,0.33,21,2011
2011-11-26,0.0,0.0,0.0,0.0,21,2011
2011-11-27,0.195,1.2,0.0,0.34,21,2011
2011-11-28,0.01,0.2,0.0,0.044,21,2011
2011-11-29,0.3,1.9,0.0,0.463,21,2011
2011-11-30,1.638,4.8,0.0,1.2,21,2011
2011-12-01,1.262,4.4,0.2,1.005,21,2011
2011-12-02,7.115,9.0,3.0,1.919,20,2011
2011-12-03,1.845,5.0,0.6,1.043,20,2011
2011-12-04,0.0,0.0,0.0,0.0,20,2011
2011-12-05,0.48,1.8,0.0,0.552,20,2011
2011-12-06,0.01,0.2,0.0,0.045,20,2011
2011-12-07,0.215,1.0,0.0,0.276,20,2011
2011-12-08,0.015,0.1,0.0,0.037,20,2011
2011-12-09,1.92,4.2,0.7,0.974,20,2011
2011-12-10,0.0,0.0,0.0,0.0,20,2011
2011-12-11,0.05,0.5,0.0,0.119,20,2011
2011-12-12,5.77,8.6,4.0,1.45,20,2011
2011-12-13,13.535,25.6,6.4,5.948,20,2011
2011-12-14,0.205,1.3,0.0,0.327,20,2011
2011-12-15,0.35,2.1,0.0,0.504,20,2011
2011-12-16,9.23,12.0,5.8,1.669,20,2011
2011-12-17,1.735,4.2,0.2,1.078,20,2011
2011-12-18,0.63,1.4,0.0,0.392,20,2011
2011-12-19,0.255,1.6,0.0,0.462,20,2011
2011-12-20,4.25,5.4,3.6,0.548,20,2011
